AnoYear,BanderaFlag,ArteGear,EspeciesSpecies,t
1918,OTH,LP,SKJ,1361
1918,OTH,LP,YFT,0
1919,OTH,LP,SKJ,3130
1919,OTH,LP,YFT,136
1920,OTH,LP,SKJ,3583
1920,OTH,LP,YFT,907
1921,OTH,LP,SKJ,499
1921,OTH,LP,YFT,590
1922,OTH,LP,SKJ,5398
1922,OTH,LP,YFT,3357
1923,OTH,LP,SKJ,5216
1923,OTH,LP,YFT,4899
1924,OTH,LP,SKJ,1724
1924,OTH,LP,YFT,1361
1925,OTH,LP,SKJ,6441
1925,OTH,LP,YFT,5987
1926,OTH,LP,SKJ,9480
1926,OTH,LP,YFT,5715
1927,OTH,LP,SKJ,15332
1927,OTH,LP,YFT,11748
1928,OTH,LP,SKJ,7212
1928,OTH,LP,YFT,14651
1929,OTH,LP,SKJ,12247
1929,OTH,LP,YFT,16965
1930,OTH,LP,SKJ,9299
1930,OTH,LP,YFT,25674
1931,OTH,LP,SKJ,2664
1931,OTH,LP,YFT,14842
1931,OTH,NK,SKJ,3017
1931,OTH,NK,YFT,698
1931,OTH,PS,SKJ,1803
1931,OTH,PS,YFT,1062
1932,OTH,LP,SKJ,8328
1932,OTH,LP,YFT,12914
1932,OTH,NK,SKJ,105
1932,OTH,NK,YFT,58
1932,OTH,PS,SKJ,1365
1932,OTH,PS,YFT,3766
1933,OTH,LP,SKJ,6158
1933,OTH,LP,YFT,21833
1933,OTH,NK,SKJ,22
1933,OTH,NK,YFT,292
1933,OTH,PS,SKJ,1394
1933,OTH,PS,YFT,1054
1934,OTH,LP,SKJ,7159
1934,OTH,LP,YFT,26674
1934,OTH,NK,SKJ,0
1934,OTH,NK,YFT,513
1934,OTH,PS,SKJ,119
1934,OTH,PS,YFT,443
1935,OTH,LP,SKJ,6649
1935,OTH,LP,YFT,31483
1935,OTH,NK,SKJ,911
1935,OTH,NK,YFT,372
1935,OTH,PS,SKJ,242
1935,OTH,PS,YFT,938
1936,OTH,LP,SKJ,8347
1936,OTH,LP,YFT,33181
1936,OTH,NK,SKJ,2238
1936,OTH,NK,YFT,640
1936,OTH,PS,SKJ,1662
1936,OTH,PS,YFT,1720
1937,OTH,LP,SKJ,17772
1937,OTH,LP,YFT,37743
1937,OTH,NK,SKJ,643
1937,OTH,NK,YFT,44
1937,OTH,PS,SKJ,2949
1937,OTH,PS,YFT,3727
1938,OTH,LP,SKJ,10006
1938,OTH,LP,YFT,34134
1938,OTH,NK,SKJ,0
1938,OTH,NK,YFT,302
1938,OTH,PS,SKJ,661
1938,OTH,PS,YFT,1076
1939,OTH,LP,SKJ,10059
1939,OTH,LP,YFT,42011
1939,OTH,NK,SKJ,953
1939,OTH,NK,YFT,424
1939,OTH,PS,SKJ,2641
1939,OTH,PS,YFT,7650
1940,OTH,LP,SKJ,18546
